Employee_ID,Department,Gender,Region,Age,Education_Level,Years_Experience,Job_Grade,Monthly_Salary_NGN,Training_Hours,Performance_Score,Performance_Rating,Job_Satisfaction,Absenteeism_Days,Promoted
EMP1236,IT,Female,Abuja,22,HND/BSc,0,Grade 3,251000,31.0,41.4,Below Average,2.6,0,0
EMP1237,Finance,Female,Kano,41,MSc/MBA,11,Grade 5,328000,35.0,56.6,Average,3.9,13,0
EMP1238,Sales,Male,Lagos,51,HND/BSc,20,Grade 4,290000,25.0,68.2,Average,2.3,4,0
EMP1239,IT,Male,Abuja,44,MSc/MBA,17,Grade 5,426000,4.0,59.9,Average,4.3,11,0
EMP1240,Sales,Male,Port Harcourt,38,HND/BSc,11,Grade 3,259000,30.0,46.9,Below Average,2.4,1,0
EMP1241,Customer Service,Female,Lagos,38,HND/BSc,9,Grade 1,205000,49.0,49.3,Below Average,4.0,4,0
EMP1242,Customer Service,Female,Port Harcourt,40,OND/NCE,12,Grade 1,211000,43.0,58.4,Average,4.1,5,1
EMP1243,Customer Service,Male,Lagos,39,HND/BSc,13,Grade 2,230000,44.0,57.1,Average,2.9,2,1
EMP1244,Operations,Female,Kano,36,HND/BSc,8,Grade 2,242000,,51.5,Below Average,4.0,8,0
EMP1245,Sales,Female,Lagos,35,HND/BSc,8,Grade 2,231000,33.0,47.9,Below Average,3.7,12,0
EMP1246,Customer Service,Male,Abuja,34,MSc/MBA,8,Grade 2,230000,34.0,49.2,Below Average,3.0,9,0
EMP1247,Operations,Male,Lagos,29,MSc/MBA,3,Grade 2,214000,25.0,40.5,Below Average,,5,0
EMP1248,Customer Service,Female,Kano,32,HND/BSc,7,Grade 1,175000,28.0,44.9,Below Average,1.7,1,0
EMP1249,Customer Service,Male,Abuja,22,MSc/MBA,0,Grade 1,182000,39.0,35.2,Poor,3.8,1,0
EMP1250,Marketing,Female,Abuja,33,MSc/MBA,8,Grade 4,285000,46.0,51.8,Below Average,2.1,13,0
EMP1251,Finance,Male,Lagos,27,MSc/MBA,2,Grade 4,293000,,41.8,Below Average,3.6,0,0
EMP1252,Operations,Female,Port Harcourt,26,MSc/MBA,2,Grade 1,202000,27.0,36.6,Poor,3.3,5,0
EMP1253,Marketing,Female,Lagos,35,MSc/MBA,10,Grade 3,273000,32.0,49.5,Below Average,4.1,5,0
EMP1254,Finance,Female,Ibadan,44,MSc/MBA,14,Grade 5,344000,39.0,61.9,Average,3.2,4,0
EMP1255,Sales,Female,Lagos,40,HND/BSc,14,Grade 3,245000,15.0,50.5,Below Average,3.2,18,0
EMP1256,HR,Male,Lagos,23,MSc/MBA,0,Grade 2,242000,4.0,27.7,Poor,4.2,1,0
EMP1257,Customer Service,Male,Lagos,27,OND/NCE,4,Grade 1,176000,25.0,35.9,Poor,3.8,2,1
EMP1258,IT,Male,Abuja,41,PhD,14,Grade 5,389000,17.0,57.6,Average,3.8,0,1
EMP1259,HR,Female,Abuja,27,MSc/MBA,1,Grade 2,223000,26.0,34.9,Poor,3.9,2,0
EMP1260,Sales,Female,Lagos,32,Secondary School,4,Grade 1,179000,30.0,35.1,Poor,2.1,1,0
EMP1261,HR,Female,Ibadan,38,MSc/MBA,8,Grade 3,264000,27.0,50.2,Below Average,4.2,2,0
EMP1262,Customer Service,Male,Abuja,27,Secondary School,5,Grade 1,188000,49.0,49.6,Below Average,4.1,7,0
EMP1263,Sales,Male,Abuja,35,HND/BSc,8,Grade 2,220000,36.0,42.2,Below Average,2.6,11,0
EMP1264,Operations,Male,Abuja,25,HND/BSc,6,Grade 2,218000,36.0,42.3,Below Average,3.3,1,0
EMP1265,Marketing,Male,Abuja,30,HND/BSc,4,Grade 3,246000,39.0,41.1,Below Average,3.5,2,0
EMP1266,IT,Female,Abuja,36,MSc/MBA,9,Grade 5,359000,18.0,50.0,Below Average,3.4,11,1
EMP1267,IT,Male,Lagos,23,MSc/MBA,3,Grade 5,333000,44.0,51.8,Below Average,3.8,0,0
EMP1268,IT,Male,Lagos,37,MSc/MBA,13,Grade 5,364000,31.0,57.6,Average,4.8,0,0
EMP1269,Operations,Female,Ibadan,34,Secondary School,11,Grade 1,197000,40.0,48.6,Below Average,4.5,1,0
EMP1270,Finance,Male,Kano,38,HND/BSc,12,Grade 4,302000,19.0,49.2,Below Average,2.3,4,0
EMP1271,Marketing,Male,Lagos,36,MSc/MBA,11,Grade 5,323000,13.0,50.9,Below Average,4.1,1,1
EMP1272,Marketing,Female,Lagos,44,PhD,15,Grade 5,343000,42.0,67.2,Average,4.7,14,0
EMP1273,Marketing,Male,Port Harcourt,35,MSc/MBA,10,Grade 5,331000,,56.0,Average,3.8,2,0
EMP1274,Customer Service,Female,Abuja,31,OND/NCE,5,Grade 1,170000,21.0,35.8,Poor,4.5,3,1
EMP1275,Operations,Female,Lagos,35,HND/BSc,7,Grade 1,202000,22.0,38.6,Poor,5.0,1,0
EMP1276,Operations,Female,Lagos,38,HND/BSc,10,Grade 1,203000,46.0,51.9,Below Average,4.4,3,1
EMP1277,Marketing,Male,Port Harcourt,34,MSc/MBA,8,Grade 3,266000,18.0,49.5,Below Average,3.7,4,1
EMP1278,IT,Female,Port Harcourt,34,HND/BSc,7,Grade 4,283000,52.0,60.5,Average,4.4,6,0
EMP1279,IT,Male,Lagos,29,MSc/MBA,6,Grade 5,348000,21.0,44.7,Below Average,3.6,6,0
EMP1280,Marketing,Male,Lagos,29,HND/BSc,6,Grade 3,265000,40.0,52.2,Below Average,3.5,3,0
EMP1281,Customer Service,Male,Lagos,24,MSc/MBA,1,Grade 1,172000,28.0,35.3,Poor,3.2,9,1
EMP1282,Finance,Female,Port Harcourt,46,HND/BSc,18,Grade 5,346000,39.0,66.4,Average,4.9,7,0
EMP1283,Operations,Male,Lagos,25,HND/BSc,0,Grade 1,182000,25.0,33.7,Poor,2.8,6,0
EMP1284,Sales,Male,Lagos,29,MSc/MBA,4,Grade 3,258000,30.0,47.8,Below Average,4.9,0,0
EMP1285,HR,Female,Ibadan,29,OND/NCE,3,Grade 2,219000,32.0,36.6,Poor,3.9,0,0
EMP1286,Sales,Male,Lagos,40,MSc/MBA,9,Grade 4,292000,20.0,45.4,Below Average,2.2,1,0
EMP1287,Operations,Male,Port Harcourt,32,HND/BSc,6,Grade 1,212000,41.0,49.6,Below Average,3.8,4,0
EMP1288,HR,Male,Lagos,43,OND/NCE,13,Grade 2,234000,26.0,52.2,Below Average,1.6,2,0
EMP1289,Finance,Male,Lagos,29,HND/BSc,7,Grade 3,259000,29.0,48.3,Below Average,4.1,2,1
EMP1290,HR,Male,Lagos,36,MSc/MBA,10,Grade 3,265000,20.0,48.6,Below Average,4.3,9,0
EMP1291,Sales,Male,Port Harcourt,28,Secondary School,2,Grade 1,186000,4.0,27.7,Poor,3.0,9,1
EMP1292,Sales,Female,Ibadan,49,HND/BSc,20,Grade 4,280000,30.0,60.7,Average,3.6,10,0
EMP1293,Marketing,Male,Ibadan,26,HND/BSc,4,Grade 3,246000,61.0,56.6,Average,5.0,2,0
EMP1294,Operations,Male,Lagos,36,HND/BSc,10,Grade 2,235000,41.0,56.6,Average,3.0,5,0
EMP1295,Sales,Female,Port Harcourt,38,Secondary School,10,Grade 2,214000,32.0,47.7,Below Average,2.5,1,0
EMP1296,Operations,Male,Lagos,37,MSc/MBA,8,Grade 2,237000,29.0,46.3,Below Average,4.8,1,0
EMP1297,Marketing,Female,Lagos,33,PhD,7,Grade 4,309000,32.0,46.5,Below Average,5.0,1,1
EMP1298,Finance,Male,Ibadan,33,PhD,9,Grade 5,366000,39.0,61.5,Average,3.5,2,0
EMP1299,HR,Male,Lagos,34,MSc/MBA,11,Grade 3,264000,18.0,49.8,Below Average,4.4,2,1
EMP1300,Sales,Male,Lagos,33,OND/NCE,9,Grade 3,256000,45.0,54.5,Below Average,4.7,7,1
