CustomerID,Branch,Gender,Age,Education,AccountType,YearsWithBank,MonthlyIncome,NumTransactionsMonth,Q1_ServiceQuality,Q2_StaffFriendliness,Q3_AppUsability,Q4_WaitTimeSatisfaction,Q5_OverallSatisfaction,ComplaintFiled,CreditScore,LoanDefault,ChurnRisk
PB0248,Ibadan,Male,50,Secondary,Current,19.5,107475,13,4,4,3,3,3,No,682,No,Low
PB0249,Lagos,Male,29,Bachelor,Savings,3.2,165984,4,2,2,3,3,2,No,698,No,Low
PB0250,Abuja,Male,38,Secondary,Savings,15.7,96834,8,3,4,3,4,4,No,579,No,Low
PB0251,Port Harcourt,Male,30,Postgraduate,Savings,10.7,243905,15,2,3,3,2,3,Yes,676,No,Low
PB0252,Lagos,Male,34,Bachelor,Savings,4.9,253460,16,3,4,1,3,4,No,823,No,Low
PB0253,Abuja,Male,25,Postgraduate,Current,3.2,405033,18,3,3,3,4,3,No,522,Yes,Low
PB0254,Lagos,Female,37,Bachelor,Savings,11.0,271428,14,4,3,2,3,3,No,589,Yes,Low
PB0255,Lagos,Female,31,Bachelor,Savings,8.3,267941,15,4,3,5,3,4,No,615,No,Medium
PB0256,Port Harcourt,Male,52,Secondary,Savings,7.6,120686,7,2,3,2,2,3,No,748,No,Low
PB0257,Port Harcourt,Female,49,Bachelor,Current,11.7,188012,16,3,4,3,3,3,No,714,Yes,Low
PB0258,Abuja,Male,43,Bachelor,Fixed Deposit,20.7,123539,13,5,5,4,5,4,No,550,No,Low
PB0259,Kano,Female,32,Diploma,Savings,8.8,140316,13,1,2,2,2,3,Yes,681,No,Medium
PB0260,Abuja,Male,33,Diploma,Current,0.8,203868,14,5,5,4,3,4,No,716,No,Medium
PB0261,Abuja,Female,33,Secondary,Savings,11.1,99069,11,2,3,4,3,4,No,496,Yes,Low
PB0262,Abuja,Male,39,Bachelor,Savings,9.4,255891,14,4,3,4,4,3,Yes,542,Yes,Medium
PB0263,Kano,Male,19,Diploma,Savings,0.8,113751,19,2,3,5,2,2,No,717,No,Low
PB0264,Kano,Male,32,Postgraduate,Current,2.2,177075,10,3,3,2,1,2,No,608,No,High
PB0265,Lagos,Male,36,Bachelor,Current,16.0,244934,16,2,2,3,2,2,No,541,No,Medium
PB0266,Lagos,Female,39,Bachelor,Savings,2.6,215900,13,4,4,4,3,4,Yes,574,Yes,Low
PB0267,Lagos,Male,38,Postgraduate,Savings,6.6,152227,13,4,3,5,4,4,No,689,Yes,Medium
PB0268,Abuja,Female,27,Secondary,Savings,6.4,71384,8,5,4,2,4,3,Yes,726,Yes,High
PB0269,Port Harcourt,Male,35,Diploma,Savings,1.3,75701,16,3,3,3,1,3,Yes,634,No,Medium
PB0270,Lagos,Male,22,Bachelor,Savings,2.5,287332,16,3,5,5,3,4,Yes,613,No,Low
PB0271,Kano,Female,41,Bachelor,Current,10.3,226961,15,3,4,4,4,4,No,659,No,Low
PB0272,Lagos,Female,25,Secondary,Current,0.8,97766,14,3,5,5,5,4,No,747,No,Low
PB0273,Lagos,Female,38,Secondary,Savings,3.4,94542,16,2,3,1,2,2,No,723,No,Low
PB0274,Kano,Male,40,Bachelor,Fixed Deposit,8.0,201260,15,4,4,2,5,3,No,599,No,Low
PB0275,Lagos,Male,36,Secondary,Savings,15.7,57767,8,3,3,4,1,3,No,696,No,Low
PB0276,Abuja,Male,35,Diploma,Current,6.0,156157,9,5,5,5,5,5,No,644,Yes,Low
PB0277,Port Harcourt,Female,42,Bachelor,Savings,16.2,232150,13,4,4,2,3,5,No,567,No,Low
PB0278,Port Harcourt,Female,18,Diploma,Current,0.0,153626,11,2,2,3,3,2,Yes,488,Yes,Medium
PB0279,Port Harcourt,Male,31,Diploma,Savings,0.7,124202,12,4,5,4,4,3,Yes,683,No,High
PB0280,Lagos,Female,31,Bachelor,Fixed Deposit,11.3,138391,13,4,4,4,3,3,No,577,No,Medium
PB0281,Lagos,Male,31,Diploma,Current,4.1,180170,12,3,3,3,4,3,Yes,681,No,Medium
PB0282,Port Harcourt,Female,50,Postgraduate,Current,6.5,377509,19,3,4,4,3,4,Yes,561,No,Medium
PB0283,Ibadan,Female,22,Bachelor,Savings,2.5,52517,4,3,3,2,2,2,No,699,No,Medium
PB0284,Lagos,Female,50,Postgraduate,Savings,15.0,364037,12,4,3,3,2,4,No,637,No,Low
PB0285,Kano,Male,41,Postgraduate,Fixed Deposit,17.3,254408,10,3,3,5,4,3,Yes,734,No,High
PB0286,Port Harcourt,Male,21,Bachelor,Savings,1.4,283513,10,4,4,4,3,4,No,571,Yes,Medium
PB0287,Abuja,Female,42,Diploma,Savings,19.2,135878,4,1,1,1,1,1,Yes,544,No,High
PB0288,Lagos,Female,38,Postgraduate,Current,2.2,300233,14,5,4,5,4,4,No,610,No,Medium
PB0289,Port Harcourt,Male,18,Bachelor,Savings,0.0,215151,9,4,4,4,4,4,No,715,Yes,Low
PB0290,Abuja,Male,45,Bachelor,Savings,11.2,213931,15,4,3,3,3,3,No,528,Yes,Low
PB0291,Lagos,Male,34,Bachelor,Current,3.1,233841,9,4,3,4,4,4,No,808,No,Low
PB0292,Ibadan,Male,46,Postgraduate,Current,17.4,373496,12,4,4,4,4,4,No,721,No,Low
PB0293,Kano,Male,35,Bachelor,Savings,7.0,100652,7,1,2,3,3,3,No,681,Yes,Medium
PB0294,Lagos,Male,24,Diploma,Current,1.3,99900,13,3,3,2,2,3,Yes,705,No,Medium
PB0295,Lagos,Female,26,Diploma,Savings,3.4,125972,12,3,3,2,3,3,No,602,No,Low
PB0296,Abuja,Male,31,Bachelor,Savings,11.3,216875,14,4,3,3,2,3,No,604,Yes,Medium
PB0297,Lagos,Male,54,Bachelor,Savings,17.1,257886,12,4,3,3,3,3,No,544,No,Low
PB0298,Kano,Male,49,Bachelor,Savings,25.9,157727,10,4,3,4,2,3,No,614,No,Medium
PB0299,Port Harcourt,Female,32,Secondary,Fixed Deposit,7.3,108128,11,3,3,4,4,4,No,746,Yes,Low
PB0300,Kano,Male,42,Secondary,Savings,10.1,102056,8,2,3,1,2,3,Yes,656,No,Medium
