CustomerID,Age,Gender,MaritalStatus,EmploymentStatus,MonthlyIncome_Naira,StoreLocation,PreferredShoppingChannel,MembershipTier,YearsAsCustomer,VisitsPerMonth,Q1_ProductAvailability,Q2_StaffHelpfulness,Q3_StoreCleanliness,Q4_CheckoutSpeed,Q5_ValueForMoney,MonthlySpend_Naira,OverallSatisfaction,LikelihoodToRecommend,ReturnsPast6Months,WouldShopAgain
2197,56,Male,Divorced,Self-employed,169800.0,Lagos,In-Store,Gold,10.2,7,3,2,3.0,3,3,38200.0,6.0,7,1,Yes
2198,19,Female,Widowed,Employed,175700.0,Lagos,Mobile App,Regular,0.2,3,3,2,3.0,3,2,13200.0,4.0,1,3,No
2199,61,Male,Married,Student,108800.0,Kano,Mobile App,Regular,11.6,3,3,2,2.0,4,2,,4.0,4,0,Yes
2200,23,Male,Married,Employed,229400.0,Abuja,In-Store,Regular,0.2,2,1,2,2.0,2,1,25300.0,4.0,3,0,Yes
2201,37,Female,Married,Retired,150200.0,Lagos,Website,Silver,2.1,2,3,3,5.0,2,4,19900.0,7.0,6,0,Yes
2202,64,Male,Married,Employed,197700.0,Abuja,Website,Regular,5.1,3,3,4,3.0,3,3,,7.0,4,2,Yes
2203,23,Female,Divorced,Employed,235600.0,Lagos,In-Store,Silver,1.6,0,4,3,4.0,3,3,36600.0,6.0,6,0,Yes
2204,49,Male,Married,Employed,323700.0,Abuja,In-Store,Gold,9.7,5,3,2,1.0,3,4,64300.0,3.0,2,1,No
2205,52,Female,Single,Retired,113200.0,Kano,Website,Gold,3.4,3,4,3,3.0,4,5,16600.0,10.0,9,0,Yes
2206,38,Male,Married,Employed,232900.0,Kano,Social Media Order,Regular,3.8,3,3,3,4.0,3,3,19800.0,7.0,6,1,No
2207,21,Female,Single,Self-employed,250800.0,Lagos,Mobile App,Silver,0.7,0,1,1,1.0,2,1,21400.0,1.0,0,5,No
2208,43,Male,Married,Retired,71700.0,Port Harcourt,Website,Gold,4.4,6,2,3,2.0,2,3,17600.0,5.0,4,0,No
2209,38,Female,Married,Retired,206400.0,Ibadan,Social Media Order,Regular,5.9,1,3,3,3.0,3,3,24000.0,5.0,2,1,No
2210,59,Male,Single,Employed,205900.0,Abuja,Website,Regular,4.6,1,4,4,4.0,4,5,20700.0,6.0,4,0,No
2211,50,Male,Married,Self-employed,156200.0,Kano,Mobile App,Regular,2.6,2,2,3,3.0,2,4,20000.0,5.0,4,1,Yes
2212,34,Male,Married,Self-employed,256000.0,Lagos,In-Store,Silver,2.6,1,2,3,4.0,4,2,41600.0,,5,0,No
2213,20,Female,Single,Student,94600.0,Ibadan,In-Store,Regular,0.2,2,3,3,2.0,1,2,9500.0,4.0,4,1,No
2214,46,Male,Single,Employed,269500.0,Port Harcourt,Mobile App,Silver,3.4,2,4,4,3.0,3,4,44100.0,5.0,4,1,Yes
2215,31,Male,Single,Employed,330700.0,Ibadan,Social Media Order,Regular,3.5,1,2,2,3.0,3,2,39300.0,4.0,6,5,No
2216,50,Female,Single,Employed,95000.0,Kano,In-Store,Silver,8.1,2,2,2,3.0,2,2,18600.0,5.0,5,2,No
2217,59,Female,Single,Employed,231900.0,Ibadan,In-Store,Silver,4.2,2,4,2,3.0,3,2,33600.0,4.0,2,1,No
2218,35,Female,Married,Self-employed,233100.0,Lagos,In-Store,Gold,,0,3,3,4.0,3,4,52900.0,7.0,6,0,Yes
2219,61,Male,Divorced,Employed,335300.0,Port Harcourt,Mobile App,Regular,10.7,2,2,3,4.0,2,2,37500.0,2.0,1,0,No
2220,42,Male,Single,Employed,288000.0,Lagos,Mobile App,Gold,2.1,8,1,2,1.0,3,1,45400.0,2.0,2,1,No
2221,43,Male,Married,Employed,242700.0,Lagos,Website,Gold,4.9,3,3,4,4.0,3,3,49500.0,6.0,5,1,Yes
2222,54,Male,Married,Employed,199700.0,Lagos,In-Store,Gold,5.7,3,2,2,1.0,2,1,38300.0,3.0,2,0,No
2223,55,Male,Married,Employed,238700.0,Port Harcourt,Mobile App,Regular,5.4,1,5,3,3.0,3,4,,,6,0,Yes
2224,61,Female,Single,Unemployed,63700.0,Port Harcourt,Mobile App,Platinum,13.1,6,4,3,3.0,3,2,16600.0,7.0,6,0,Yes
2225,65,Male,Single,Self-employed,292000.0,Ibadan,Mobile App,Silver,12.9,1,5,4,4.0,4,4,55900.0,7.0,6,0,Yes
2226,25,Male,Married,Employed,317000.0,Lagos,In-Store,Regular,1.0,1,4,5,4.0,4,5,44800.0,,7,0,No
2227,37,Female,Single,Student,81700.0,Lagos,Mobile App,Silver,5.1,3,2,2,2.0,2,2,15300.0,4.0,3,1,No
2228,62,Female,Single,Employed,343000.0,Abuja,Website,Silver,,2,3,3,4.0,2,3,46100.0,6.0,7,3,Yes
2229,32,Male,Married,Employed,112300.0,Kano,In-Store,Silver,2.3,0,2,2,1.0,2,2,17000.0,3.0,3,4,No
2230,18,Female,Married,Retired,179400.0,Abuja,In-Store,Regular,1.5,1,4,5,4.0,3,4,23500.0,7.0,8,1,Yes
2231,45,Male,Single,Unemployed,68000.0,Abuja,Mobile App,Regular,5.1,1,4,3,4.0,3,4,5400.0,6.0,1,0,Yes
2232,54,Female,Single,Self-employed,260900.0,Kano,In-Store,Regular,8.5,1,5,5,4.0,4,4,33100.0,8.0,8,0,No
2233,53,Male,Divorced,Employed,166000.0,Port Harcourt,Website,Gold,9.0,3,3,4,3.0,2,3,37400.0,6.0,7,1,Yes
2234,56,Female,Single,Employed,208900.0,Lagos,Website,Silver,10.5,1,1,1,1.0,1,1,27900.0,1.0,4,2,No
2235,48,Female,Married,Employed,295400.0,Lagos,Social Media Order,Regular,3.4,1,3,5,4.0,4,5,39100.0,8.0,7,0,Yes
2236,24,Female,Single,Employed,115600.0,Abuja,Website,Silver,2.3,2,4,2,4.0,3,4,13700.0,7.0,4,0,Yes
2237,58,Male,Married,Employed,189900.0,Ibadan,Mobile App,Regular,6.3,1,5,3,3.0,4,3,23200.0,7.0,7,0,Yes
2238,38,Female,Single,Employed,206800.0,Port Harcourt,In-Store,Regular,4.8,1,4,3,3.0,4,4,23100.0,,5,0,Yes
2239,58,Female,Married,Self-employed,278700.0,Lagos,Website,Platinum,12.6,5,3,4,3.0,4,4,85900.0,8.0,5,2,Yes
2240,57,Male,Single,Employed,178500.0,Abuja,Website,Regular,5.2,1,3,3,2.0,3,3,16900.0,7.0,6,1,Yes
2241,64,Male,Married,Employed,307300.0,Abuja,Website,Silver,12.7,6,2,1,1.0,2,1,31500.0,3.0,4,1,No
2242,18,Male,Married,Unemployed,46900.0,Port Harcourt,Mobile App,Regular,0.9,4,4,4,4.0,4,5,5300.0,8.0,9,1,No
2243,59,Female,Single,Employed,197200.0,Port Harcourt,Website,Regular,11.2,1,3,3,2.0,3,2,22200.0,5.0,6,2,Yes
2244,48,Female,Single,Employed,243400.0,Ibadan,In-Store,Platinum,4.8,4,2,3,3.0,4,3,61200.0,5.0,3,1,Yes
2245,41,Male,Married,Employed,271300.0,Lagos,Mobile App,Platinum,2.5,3,5,5,3.0,4,5,89500.0,9.0,10,2,Yes
2246,56,Female,Married,Student,111400.0,Abuja,Mobile App,Regular,3.7,2,5,3,3.0,4,4,23100.0,10.0,8,0,Yes
2247,63,Male,Single,Self-employed,300400.0,Port Harcourt,In-Store,Silver,9.5,2,1,2,1.0,3,2,43600.0,5.0,4,2,No
2248,42,Female,Married,Self-employed,125200.0,Ibadan,In-Store,Regular,5.7,3,1,1,2.0,1,1,9500.0,2.0,0,2,No
2249,22,Female,Married,Self-employed,266500.0,Port Harcourt,In-Store,Regular,0.9,2,3,3,3.0,2,3,25600.0,5.0,6,1,No
2250,52,Female,Married,Employed,253500.0,Abuja,Mobile App,Silver,7.6,2,3,4,3.0,3,3,43100.0,6.0,6,1,Yes
