LicenseID,CompanyName,MineralType,MineSite,LicenseType,LicenseIssueDate,LicenseExpiryDate,QuantityMined_tonnes,RevenueNGN,RoyaltyPaidNGN,MineStatus,ContactPhone,State,EnvironmentalClearance,NMRCRegistered
MML600423,Bola Nnamdi Mining Ltd,Barite,Plateau Mining Zone,Quarry lease,13 March 2014,2023/06/03,42222.0,"NGN 26,873,208,664","N1,488,531,455",INACTIVE,02481934667,Kogi,yes,N
MML600290,Obinna Nnamdi Mining Ltd,Iron ore,Zamfara Gold Belt,exploration,17-Sep-2012,17/04/2014,17217.95,"NGN 58,489,292,444","NGN 3,125,735,816",Inactive,(520) 643-6110,Kogi,yes,FALSE
MML600375,Grace Bello Mining Ltd,Columbite,Benue Coal Field,MINING LEASE,28-Oct-2018,2020/05/26,68113.29,"N178,555,488,052","6,277,085,788.27 ",active,+234743292712,Ebonyi,N,No
MML600419,Emeka Yusuf Mining Ltd,Iron Ore,Benue Coal Field,exploration,2013-12-18,08/31/2020,67698.88 short tons,79403014020.33,"NGN 4,837,251,689",INACTIVE,234-305-616-484,Kogi,No,yes
MML600087,Tobi Afolabi Mining Ltd,Columbite,Zamfara Gold Belt,Mining Lease,02/29/2016,03 March 2023,83085.76,10492448588.26,,Suspended ,+234385977034,Cross River,yes,true
MML600429,Chioma Yusuf Mining Ltd,Zinc,Benue Coal Field,small-scale mining,2020-04-17,26 July 2023,8473.18,36970328358.24,1961203726.18,Inactive,(222) 394-3129,Plateau,1,N
MML600366,Chinedu Mohammed Mining Ltd,Gypsum,Zamfara Gold Belt,Small Scale,2011-09-07,2014-05-23,48186.79,"NGN 215,640,711,196",,Suspended,0085 899 4417,Nasarawa,0,yes
MML600085,Kemi Suleiman Mining Ltd,COAL,Nasarawa Barytes Mine,Quarry Lease,04/14/2019,17.10.2020,47814.82,nil,1772943150.55,Abandoned,51256746807,Ebonyi,Y,Y
MML600220,Amara Abubakar Mining Ltd,Columbite,Ebonyi Lead-Zinc Site,small-scale mining,,10/12/2024,65717.95,"N222,353,697,426",13201703401.08,active,00651801704,Zamfara,Yes,FALSE
MML600116,Emeka  Mohammed Mining Ltd,Lead,Zamfara Gold Belt,Exploration,04/14/2012,09-Mar-2022,11882.84,"1,226,407,811.87 ","₦77,527,238.94",Abandoned,(102) 053-9502,Benue,false,1
MML600149,TOBI BALOGUN MINING LTD,Lead,Kogi Iron Ore Field,Quarry Lease,2014-05-29,00/00/0000,61617.87,"₦56,137,873,575.13","₦2,691,956,822.15",active,(573) 322-1418,Ebonyi,No,false
MML600237,Amaka Nnamdi Mining Ltd,COAL,Ebonyi Lead-Zinc Site,MINING LEASE,2010/06/25,01.10.2014,16070.56,"N2,379,454,561","NGN 147,715,502",active,234-937-854-777,Nasarawa,Yes,Y
MML600267,Bisi Adekunle Mining Ltd,COAL,Kogi Iron Ore Field,MINING LEASE,01-Feb-2018,11/28/2023,24049.03,"N95,050,590,522","₦5,181,898,025.18",Active,05738757177,Sokoto,yes,Y
MML600337,Adaeze Abubakar Mining Ltd   ,GOLD,Nasarawa Barytes Mine,Quarry Lease,14-Jun-2021,2024-10-20,58474.23,"₦175,343,494,545.62",5574068361.63,Suspended,02513552157,Nasarawa,true,false
MML600338,Musa Okonkwo Mining Ltd,Tin,Ebonyi Lead-Zinc Site,Quarry lease,28 April 2014,2023-05-02,31632.41,94108486481.16 naira,,Inactive,234-331-541-006,Nasarawa,Y,N
MML600333,Ngozi Abubakar Mining Ltd   ,Limestone,Kogi Iron Ore Field,Quarry lease,02-Sep-2013,02/21/2021,11693.11,,,INACTIVE,+234921851569,Benue,N,Yes
MML600356,Femi Yusuf Mining Ltd   ,Zinc,Benue Coal Field,Quarry lease,2016/01/01,2024/01/14,46207.33,"6,671,191,459.28 ",,Suspended,+234530745054,Zamfara,yes,no
MML600316,grace olawale mining ltd,GOLD,Plateau Mining Zone,Mining Lease,19-Mar-2015,10 August 2018,9000.7,13401923799.55,410095958.5,active,(557) 431-3291,Ebonyi,true,false
MML600455,Grace Okafor Mining Ltd,Tin,Zamfara Gold Belt,Quarry lease,2018-08-07,02/07/2026,55514.03,"₦243,451,276,729.27",11299000318.85,Suspended ,+234635651269,Kogi,0,no
MML600432,Chidi Adekunle Mining Ltd,GOLD,Kogi Iron Ore Field,Quarry Lease,2019/05/19,08 November 2024,787.47,"N451,413,703","NGN 31,522,116",INACTIVE,75949299556,Kogi,Y,TRUE
MML600232,Emeka Nwosu Mining Ltd,Gold,Benue Coal Field,Exploration,00/00/0000,22 October 2026,26157.7 short tons,78274917020.19 naira,"4,653,221,074.99 ",Abandoned,00139837354,Plateau,false,false
MML600374,Amaka Afolabi Mining Ltd,Gold,Benue Coal Field,Exploration,N/A,17.09.2021,24106.73,"N95,565,149,378",3878030208.84,Reclaimed,0972 521 7525,Cross River,FALSE,true
MML600256,Yusuf Okafor Mining Ltd,Columbite ,Kogi Iron Ore Field,Small Scale,09.01.2019,03-Nov-2022,53122.12,"109,796,372,400.21 ",6646818601.48,Active,234-647-154-379,Sokoto,Y,N
MML600163,Obinna Bello Mining Ltd,COAL,Kogi Iron Ore Field,exploration,04/23/2018,17/10/2019,59299.79,116159712491.92 naira,7845062834.46,Active,03195205852,Plateau,1,true
MML600020,Bisi Okeke Mining Ltd,Gold,Benue Coal Field,Small Scale,unknown date,10-Feb-2026,5293.05,19882631487.26 naira,906231902.18 naira,Reclaimed,234-738-299-737,Benue,0,Yes
MML600197,Kemi Afolabi Mining Ltd,Tin ,Sokoto Gypsum Deposit,MINING LEASE,05/03/2014,14.11.2017,3020.33 short tons,"NGN 9,459,022,248","N289,451,476",Active,0749 930 9728,Sokoto,Yes,N
MML600195,Femi Abubakar Mining Ltd,Gypsum,Kogi Iron Ore Field,Quarry lease,21.05.2017,03 June 2023,46090.1,"N44,710,617,419","₦1,589,152,205.47",INACTIVE,+234694958887,Plateau,no,1
MML600148,Chidi Suleiman Mining Ltd,Iron Ore,Benue Coal Field,Quarry lease,19.04.2012,2020-03-16,NIL,"NGN 246,490,166,659",15921701872.66,Abandoned,28168505423,Ebonyi,FALSE,TRUE
MML600349,Amara Nnamdi Mining Ltd,Zinc,Nasarawa Barytes Mine,Small-Scale Mining,03/12/2012,08/20/2017,30648.66,"₦112,010,335,093.93",6688952633.17,Reclaimed,06879374160,Zamfara,TRUE,FALSE
MML600441,  Yusuf Yusuf Mining Ltd,Columbite ,Sokoto Gypsum Deposit,Quarry Lease,not set,19 September 2022,19207.02,17049909262.83 naira,"N1,114,087,842",active,18449892665,Nasarawa,No,TRUE
MML600236,  Ifeoma Balogun Mining Ltd,Coal,Zamfara Gold Belt,Quarry Lease,2018/04/04,03/23/2028,57231.21,"N179,410,843,148",12401483489.19,Suspended,0048 996 4235,Sokoto,false,true
MML600211,Chidi Okeke Mining Ltd,Limestone,Sokoto Gypsum Deposit,MINING LEASE,04.09.2017,2024-10-12,N/A,"N48,394,792,228","2,748,059,940.44 ",INACTIVE,29668516122,Plateau,No,N
MML600130,Femi  Chukwu Mining Ltd,Gold,Benue Coal Field,Exploration,18 December 2020,08/16/2028,37919.07,"N163,974,029,099",8031987676.02 naira,Active,22901476797,Plateau,0,Y
MML600009,  Obinna Lawal Mining Ltd,Lead,Sokoto Gypsum Deposit,exploration,2010/05/01,17 May 2012,78741.23,"₦301,318,751,304.73","₦11,044,068,786.15",Active,04139537672,Plateau,FALSE,0
MML600112,Amara Yusuf Mining Ltd,Zinc,Sokoto Gypsum Deposit,MINING LEASE,05-May-2017,23.04.2019,47012.99,4017862811.6,"₦152,786,650.94",Suspended ,invalid,Plateau,no,Yes
MML600145,Femi Afolabi Mining Ltd,limestone,Kogi Iron Ore Field,Quarry Lease,04/23/2021,2023/10/26,81927.67,5677787689.95 naira,337536286.33,Reclaimed,234-554-665-905,Nasarawa,0,Y
MML600389,Ibrahim Okafor Mining Ltd,Zinc,Kogi Iron Ore Field,MINING LEASE,11/02/2013,25-Aug-2023,unknown,49909116794.95 naira,,active,+234579415521,Plateau,FALSE,no
MML600096,Ibrahim Olawale Mining Ltd,Barite,Sokoto Gypsum Deposit,MINING LEASE,01-May-2019,16-Apr-2021,9866.34,"41,793,904,087.43 ",,INACTIVE,45961586578,Kogi,false,N
MML600442,Halima Okonkwo Mining Ltd,Tin ,Ebonyi Lead-Zinc Site,MINING LEASE,2014/09/23,15/08/2018,18552.06,"NGN 22,462,172,320","₦1,502,197,645.59",Abandoned,91846386557,Zamfara,Y,no
MML600301,Zainab Olawale Mining Ltd,gold,Nasarawa Barytes Mine,Quarry lease,01/04/2014,26.09.2022,40436.89,126514593550.11,6160766732.97 naira,Reclaimed,24141832856,Ebonyi,false,1
MML600204,HALIMA SULEIMAN MINING LTD,Gold,Kogi Iron Ore Field,Small-Scale Mining,2014-07-07,02-Apr-2023,23938.63,"N85,374,011,578","N3,612,251,435",INACTIVE,0473 384 8421,Plateau,TRUE,yes
MML600361,SEGUN MOHAMMED MINING LTD,Columbite,Sokoto Gypsum Deposit,Quarry Lease,2011/08/28,01-Jan-2018,71182.24,279292241924.5,"NGN 8,715,992,870",Suspended,61035797279,Plateau,FALSE,Y
MML600367,obinna adeyemi mining ltd,Tin ,Ebonyi Lead-Zinc Site,small-scale mining,2019-12-01,2028/03/16,78553.7,"332,458,200,834.96 ","₦22,895,473,991.44",Active,+234454443283,Plateau,Y,No
MML600398,Tobi Ogundimu Mining Ltd,Limestone,Benue Coal Field,Quarry Lease,02/16/2014,2017/10/05,71546.35,177642479034.99,11167931151.44 naira,active,08019948837,Sokoto,no,true
MML600329,Chidi Bello Mining Ltd,COAL,Cross River Barite Site,Small-Scale Mining,2011-06-14,02/09/2019,29174.52,"₦119,622,642,109.26","N7,143,710,207",Suspended,0803 965 2239,Plateau,yes,Yes
MML600223,Ifeoma Bello Mining Ltd,Columbite ,Sokoto Gypsum Deposit,Small Scale,08.01.2010,11.06.2011,56491.66,"₦69,803,487,007.29","4,048,756,370.68 ",Abandoned,(786) 863-3752,Ebonyi,no,true
MML600371,Tobi Olawale Mining Ltd,COAL,Nasarawa Barytes Mine,small-scale mining,15-Jun-2014,28.04.2016,61431.65,NULL,"₦5,768,982,436.84",Suspended,+234353465549,Ebonyi,N,N
MML600031,ALIYU OLAWALE MINING LTD,Iron ore,Plateau Mining Zone,Small Scale,2019-10-11,23.11.2027,69210.91,301918462041.26,14733746484.83 naira,Reclaimed,(251) 354-2784,Sokoto,true,0
MML600255,Kunle Nwosu Mining Ltd,Coal,Zamfara Gold Belt,MINING LEASE,20 October 2014,09-Jan-2019,22538.55,"₦30,947,123,984.49",1638366359.54 naira,active,(622) 444-7212,Ebonyi,N,1
MML600201,  yusuf mohammed mining ltd   ,Gypsum,Ebonyi Lead-Zinc Site,Mining Lease,00/00/0000,03/09/2024,53434.2,"N197,681,970,491",7572307518.98,Suspended,54973348434,Ebonyi,Yes,No
MML600155,Fatima Eze Mining Ltd,Tin ,Zamfara Gold Belt,exploration,2021-06-30,2024/02/03,13681.54,"NGN 14,126,278,483","NGN 895,463,870",active,+234137506068,Ebonyi,0,0
MML600066,Ibrahim Lawal Mining Ltd,Columbite,Sokoto Gypsum Deposit,Quarry lease,09/06/2010,04/06/2017,75564.79,187235932979.75,-,Inactive,0379 965 0752,Zamfara,yes,0
MML600206,Bola Ogundimu Mining Ltd,limestone,Kogi Iron Ore Field,Small-Scale Mining,04-Dec-2013,07 March 2016,31808.65,6883643480.58,,Suspended,07120826773,Sokoto,1,false
MML600174,Musa Yusuf Mining Ltd,Tin,Kogi Iron Ore Field,MINING LEASE,13 June 2021,30.11.2027,65853.38,"NGN 134,264,440,810","N4,449,026,905",active,0947 312 1727,Nasarawa,0,no
MML600412,Blessing Okonkwo Mining Ltd,Columbite,Kogi Iron Ore Field,Exploration,2011/10/14,not set,76248.82,"₦190,922,700,969.66","₦13,007,894,193.92",active,00439735989,Ebonyi,TRUE,false
MML600086,Adaeze Nnamdi Mining Ltd,COAL,Kogi Iron Ore Field,Small-Scale Mining,12/14/2020,not set,  ,"N191,919,308,545",10684604392.04 naira,Abandoned,0000000000,Plateau,Yes,TRUE
MML600228,ngozi abubakar mining ltd,Iron Ore,Kogi Iron Ore Field,Small Scale,13/05/2016,11.01.2022,58947.95,"N210,766,696,402",10336103951.44,INACTIVE,(687) 056-8566,Cross River,0,true
MML600303,Kunle Chukwu Mining Ltd,Columbite ,Benue Coal Field,Mining Lease,06/28/2012,04/14/2017,79569.73,"NGN 112,000,130,543","N4,435,876,870",Active,(990) 421-0202,Cross River,TRUE,yes
MML600059,zainab ogundimu mining ltd,Gypsum,Benue Coal Field,small-scale mining,03/06/2020,03/21/2029,40675.41,"₦35,027,104,321.61","NGN 1,239,752,947",INACTIVE,0708 053 1003,Sokoto,1,no
MML600120,TUNDE OLAWALE MINING LTD,limestone,Ebonyi Lead-Zinc Site,Quarry Lease,09 March 2018,31 December 2019,31755.53,"N134,692,931,840","NGN 6,172,145,000",active,12499856984,Plateau,false,FALSE
MML600437,Wale Chukwu Mining Ltd,Columbite ,Plateau Mining Zone,exploration,unknown date,29-Dec-2024,18260.79 short tons,"NGN 44,041,161,300",1899850337.46,Abandoned,63942788165,Sokoto,0,Y
MML600048,BISI ADEKUNLE MINING LTD,Zinc,Ebonyi Lead-Zinc Site,Mining Lease,2011/03/25,,17376.36,"NGN 73,965,815,871",4489279829.93 naira,Suspended ,0176 936 7632,Plateau,no,Y
MML600263,Funmilayo Yusuf Mining Ltd,Zinc,Plateau Mining Zone,Exploration,2020/09/23,12/21/2029,11348.77,"₦9,328,480,853.98","₦501,133,609.30",Suspended ,(058) 911-3529,Nasarawa,Y,No
MML600115,Yusuf Yusuf Mining Ltd,Iron Ore,Cross River Barite Site,MINING LEASE,2014/08/28,2020-09-21,null,"NGN 32,215,264,553","₦1,120,979,814.26",Suspended ,(352) 904-2284,Cross River,No,0
MML600093,Obinna Okeke Mining Ltd,gold,Benue Coal Field,exploration,26-Dec-2013,14 June 2019,82341.66,"₦110,909,627,492.40","₦6,410,389,110.19",Abandoned,+234675339636,Sokoto,yes,false
MML600310,Bola Ogundimu Mining Ltd,Columbite,Zamfara Gold Belt,Quarry Lease,24-Jul-2011,19-Nov-2016,24124.86,"₦26,224,336,693.12",1478601418.89 naira,Abandoned,(445) 187-0534,Nasarawa,FALSE,N
MML600299,Grace Okafor Mining Ltd,gold,Cross River Barite Site,Mining Lease,30 May 2020,29 April 2030,36389.27,"N102,251,579,260","NGN 3,481,780,499",Suspended ,(271) 091-0430,Sokoto,Y,N
MML600183,Yusuf Okafor Mining Ltd,GOLD,Cross River Barite Site,MINING LEASE,2018/03/27,28.04.2024,61.69,178235733.68 naira,"N8,049,436",INACTIVE,234-969-078-447,Zamfara,No,TRUE
MML600180,Adaeze Abubakar Mining Ltd,Limestone,Cross River Barite Site,Small Scale,2015-08-02,11/24/2020,Unknown,132496729843.08 naira,"N7,884,186,177",Reclaimed,02253584143,Cross River,No,N
MML600018,Grace Okafor Mining Ltd,Limestone,Benue Coal Field,Small-Scale Mining,2014/05/12,01/06/2023,59190.26,"₦133,176,806,614.47",5295026939.50 naira,INACTIVE,0713 315 0983,Benue,TRUE,0
MML600225,Amara Nwosu Mining Ltd,Coal,Nasarawa Barytes Mine,Small Scale,28.10.2019,24/01/2029,nil,3363625201.34,"NGN 104,321,437",Abandoned,(079) 030-6738,Kogi,false,FALSE
MML600198,Halima Adeyemi Mining Ltd,Columbite,Benue Coal Field,exploration,20/08/2021,08/31/2028,33627.25,"₦111,693,141,655.41","₦5,842,449,097.22",Suspended,234-230-913-075,Sokoto,Yes,Y
MML600036,Aliyu Okeke Mining Ltd,Columbite,Kogi Iron Ore Field,Quarry Lease,05.04.2011,2015/07/19,30469.7,"₦59,920,377,628.63","NGN 2,382,907,423",active,0262 045 0533,Nasarawa,true,TRUE
MML600006,Bola Lawal Mining Ltd,Tin,Kogi Iron Ore Field,Small Scale,11/24/2016,31.07.2020,4924.11,19485406021.54,1322629957.59,Suspended ,10341316475,Ebonyi,0,TRUE
MML600252,Sadiq Yusuf Mining Ltd,Columbite,Sokoto Gypsum Deposit,Quarry lease,2018/06/10,26.05.2024,39071.05,"N7,666,759,479","N400,715,926",Abandoned,+234541212678,Plateau,1,yes
MML600388,Aliyu Eze Mining Ltd,Zinc,Zamfara Gold Belt,Small-Scale Mining,12/01/2019,01/04/2022,55660.46 short tons,"NGN 121,517,464,944",6044843651.71,Suspended ,+234455611002,Nasarawa,0,N
MML600362,Ifeoma Ogundimu Mining Ltd,Lead,Nasarawa Barytes Mine,Small-Scale Mining,04/15/2021,31/01/2024,924.24,"₦3,470,915,314.57","N198,522,964",Reclaimed,85524140602,Zamfara,false,0
MML600430,NGOZI BALOGUN MINING LTD,Tin,Benue Coal Field,Small Scale,11.01.2020,03/04/2025,44675.3 short tons,21675637523.10 naira,"919,575,760.45 ",Active,(878) 141-4139,Benue,Yes,yes
MML600067,Musa Afolabi Mining Ltd,gold,Cross River Barite Site,Quarry Lease,24 July 2015,2018-02-20,8229.44,"NGN 11,039,328,156","NGN 500,810,088",INACTIVE,invalid,Sokoto,FALSE,true
MML600170,Bisi Suleiman Mining Ltd,limestone,Ebonyi Lead-Zinc Site,MINING LEASE,09 September 2012,27-Jul-2014,57444.19,172461081184.99 naira,9408282988.21,Suspended,0658 202 9702,Sokoto,TRUE,Yes
MML600270,Kunle Okeke Mining Ltd,Coal,Benue Coal Field,Mining Lease,02/29/2020,20.10.2024,80530.59,"362,323,547,627.89 ",24013041913.14,active,60937966033,Kogi,No,yes
MML600140,Musa Adekunle Mining Ltd,Coal,Ebonyi Lead-Zinc Site,MINING LEASE,07-Feb-2013,17-Jul-2021,55012.06,"83,207,978,420.84 ","N5,473,512,740",Suspended,99552717744,Plateau,Y,No
MML600217,Halima Balogun Mining Ltd,Lead,Nasarawa Barytes Mine,Quarry Lease,2016-07-18,24/10/2025,53067.13,70384508594.05,"NGN 2,343,832,760",Suspended,39822587139,Cross River,0,Y
MML600452,grace ajayi mining ltd   ,GOLD,Sokoto Gypsum Deposit,Quarry Lease,2016/06/15,14 August 2025,60523.0,"NGN 225,753,128,941",,Inactive,(068) 650-8637,Ebonyi,No,N
MML600063,Sadiq Okonkwo Mining Ltd,Columbite,Ebonyi Lead-Zinc Site,small-scale mining,10/17/2017,10/01/2026,Unknown,"N13,594,611,489",N/A,Inactive,90586518506,Sokoto,TRUE,1
MML600281,Yusuf Afolabi Mining Ltd,Iron Ore,Nasarawa Barytes Mine,Quarry lease,2021/08/09,21.05.2023,7206.61,null,"N724,363,713",Suspended,0517 133 9596,Cross River,TRUE,FALSE
MML600023,Chioma Bello Mining Ltd,Barite,Zamfara Gold Belt,Small-Scale Mining,04.06.2012,2019/11/30,2183.15,3139827588.55,179264975.59 naira,INACTIVE,47317810801,Ebonyi,Yes,1
MML600144,FEMI NNAMDI MINING LTD,COAL,Zamfara Gold Belt,exploration,01/18/2010,16.11.2014,30187.14,86630820514.94,"₦5,370,808,411.31",Suspended ,,Sokoto,0,true
MML600397,Ibrahim Yusuf Mining Ltd,Gold,Sokoto Gypsum Deposit,Small-Scale Mining,09/02/2021,21/08/2023,19001.59,"₦58,083,668,650.08",,Abandoned,07751701660,Nasarawa,1,0
MML600147,Sadiq Afolabi Mining Ltd,Columbite ,Zamfara Gold Belt,Exploration,13/05/2019,12/03/2027,63568.97,241192266890.29,"₦9,994,312,715.43",active,(254) 629-1486,Plateau,no,0
MML600077,Ibrahim Chukwu Mining Ltd,Zinc,Kogi Iron Ore Field,Small Scale,2021/04/09,2030-02-27,65436.6,204279466133.97 naira,"N11,347,408,325",Reclaimed,96499091334,Zamfara,TRUE,0
MML600399,  amaka afolabi mining ltd,Iron Ore,Sokoto Gypsum Deposit,Exploration,2016-03-04,23-Jul-2021,32795.07,"₦118,369,070,253.65",5747830170.05 naira,Reclaimed,50375899757,Benue,TRUE,No
MML600387,CHINEDU OGUNDIMU MINING LTD,Coal,Ebonyi Lead-Zinc Site,Quarry lease,16-Apr-2012,10 December 2014,39181.37,"NGN 20,645,509,391",,Suspended ,0114 374 4701,Cross River,yes,N
MML600262,Blessing Okafor Mining Ltd,Columbite,Sokoto Gypsum Deposit,Quarry Lease,N/A,2023-08-11,51180.05,"NGN 187,818,234,939",11177330017.9,Suspended,61797968868,Benue,no,0
MML600212,Ngozi Mohammed Mining Ltd,Gypsum,Benue Coal Field,Small Scale,2013/02/12,2020-08-17,76776.81,"NGN 221,177,947,027",6636969292.55 naira,INACTIVE,(753) 046-3745,Plateau,FALSE,TRUE
MML600106,Grace Mohammed Mining Ltd,Tin ,Cross River Barite Site,Mining Lease,03/11/2010,12 January 2018,55251.89,110970239797.66 naira,"NGN 6,535,845,402",Inactive,(858) 842-4745,Nasarawa,false,Yes
MML600188,Ibrahim Balogun Mining Ltd,Barite,Zamfara Gold Belt,MINING LEASE,12/11/2015,2021/01/21,75618.21,"₦87,858,017,807.27","₦3,536,263,563.09",Suspended ,07877470168,Ebonyi,no,1
MML600199,Bola Adekunle Mining Ltd,Coal,Zamfara Gold Belt,Small Scale,05/03/2020,17-Oct-2027,76212.54,"N307,615,710,135","N20,087,901,999",Active,234-636-897-028,Kogi,Y,Y
MML600343,Fatima Yusuf Mining Ltd,Columbite ,Plateau Mining Zone,Small Scale,01.08.2016,2020-07-20,19963.94 short tons,"NGN 60,385,958,149",,INACTIVE,+234884443106,Benue,no,Yes
MML600019,Amaka Adekunle Mining Ltd,Columbite ,Sokoto Gypsum Deposit,Small-Scale Mining,27/07/2013,11/28/2022,73227.14,150321436000.40 naira,"NGN 9,029,969,724",Suspended,03010310518,Benue,1,no
MML600236,  Ifeoma Balogun Mining Ltd,Coal,Zamfara Gold Belt,Quarry Lease,2018/04/04,03/23/2028,57231.21,"N179,410,843,148",12401483489.19,Suspended,0048 996 4235,Sokoto,false,true
MML600374,Amaka Afolabi Mining Ltd,Gold,Benue Coal Field,Exploration,N/A,17.09.2021,24106.73,"N95,565,149,378",3878030208.84,Reclaimed,0972 521 7525,Cross River,FALSE,true
MML600115,Yusuf Yusuf Mining Ltd,Iron Ore,Cross River Barite Site,MINING LEASE,2014/08/28,2020-09-21,null,"NGN 32,215,264,553","₦1,120,979,814.26",Suspended ,(352) 904-2284,Cross River,No,0
MML600121,Wale Ajayi Mining Ltd   ,Zinc,Ebonyi Lead-Zinc Site,MINING LEASE,13/10/2018,2028/06/04,82040.65,15924353189.42 naira,"NGN 861,436,592",Inactive,07896118367,Plateau,Yes,1
MML600285,AMAKA OKONKWO MINING LTD   ,Columbite ,Zamfara Gold Belt,Small-Scale Mining,15/11/2019,06 August 2028,79138.06,"N176,355,822,866","₦12,156,365,471.71",active,N/A,Zamfara,no,yes
MML600073,Wale Suleiman Mining Ltd,Tin,Zamfara Gold Belt,Small-Scale Mining,2015/10/02,02/17/2025,--,"NGN 38,653,429,582","N1,992,318,241",Suspended,N/A,Benue,true,0
MML600113,Emeka Afolabi Mining Ltd,Iron Ore,Kogi Iron Ore Field,exploration,06/10/2018,19 September 2027,61813.41,31683893417.63 naira,"N1,621,980,235",Suspended,0506 431 7139,Zamfara,FALSE,FALSE
MML600095,Bisi Olawale Mining Ltd,COAL,Zamfara Gold Belt,Exploration,12/29/2010,22 April 2018,83606.71,"NGN 256,233,659,171",11782830470.55 naira,Suspended,01718702621,Sokoto,No,yes
MML600304,Ngozi Nnamdi Mining Ltd,limestone,Cross River Barite Site,Mining Lease,02.05.2013,03/01/2018,21009.97,59901382140.59,2468112590.64 naira,Suspended,234-884-252-410,Sokoto,false,0
MML600071,Obinna Adeyemi Mining Ltd,Columbite ,Cross River Barite Site,small-scale mining,2019/04/06,02-Jan-2028,17331.19,-,"2,154,881,270.05 ",active,+234182337498,Cross River,yes,TRUE
MML600433,Chinedu Yusuf Mining Ltd,Barite,Zamfara Gold Belt,small-scale mining,17/08/2020,26-Sep-2021,  ,"N22,887,215,269","N1,117,347,840",Reclaimed,0205 336 4525,Nasarawa,no,FALSE
MML600406,Tunde Ajayi Mining Ltd,GOLD,Ebonyi Lead-Zinc Site,Small-Scale Mining,22/10/2012,17/08/2018,59613.86,148764892034.57,5150735649.09,Active,02698485833,Cross River,Yes,No
MML600015,CHIOMA SULEIMAN MINING LTD,Lead,Plateau Mining Zone,Mining Lease,2016-04-01,2018-01-10,82185.59,"₦106,192,511,837.14","₦5,910,597,639.93",Active,09570154303,Cross River,no,1
MML600026,Aliyu Suleiman Mining Ltd,Barite,Ebonyi Lead-Zinc Site,Mining Lease,13.11.2016,04/24/2025,49432.43,106576772621.55,5460661016.07 naira,active,+234980500978,Nasarawa,N,no
MML600016,Tunde Yusuf Mining Ltd,COAL,Ebonyi Lead-Zinc Site,Quarry lease,28 July 2011,07-Jan-2020,78265.56,220946929712.86,"N12,491,344,935",Suspended ,01171822782,Nasarawa,yes,N
MML600097,Blessing Nwosu Mining Ltd,Columbite,Kogi Iron Ore Field,Quarry lease,2021/07/29,07/12/2024,46912.6,"₦71,443,384,652.21","NGN 3,361,752,415",Inactive,(091) 343-1611,Kogi,no,no
MML600411,  Emeka Suleiman Mining Ltd,Lead,Plateau Mining Zone,Mining Lease,2012/12/16,2014-02-16,23859.87,"₦73,668,884,189.14",,Active,0638 406 6658,Cross River,1,Yes
MML600417,Ngozi Adeyemi Mining Ltd,Gold,Kogi Iron Ore Field,Mining Lease,28.11.2015,28-Jun-2025,47139.42,197469716690.67 naira,11791738197.9,Inactive,234-861-533-555,Zamfara,false,Yes
MML600282,Bisi Abubakar Mining Ltd,Coal,Plateau Mining Zone,small-scale mining,2019/12/02,09/26/2028,29346.63,"NGN 107,486,384,368","NGN 6,013,893,329",INACTIVE,+234233095849,Plateau,Yes,TRUE
MML600064,Blessing Ogundimu Mining Ltd,GOLD,Kogi Iron Ore Field,small-scale mining,03/09/2019,08/18/2026,6269.27,"₦27,441,157,803.27","₦1,528,295,317.88",Suspended,71657262849,Cross River,no,TRUE
MML600346,Amaka Olawale Mining Ltd,Gold,Benue Coal Field,Small Scale,20-Sep-2017,29-Apr-2024,1160.65,3593079458.16 naira,115271714.51,active,+234741862565,Benue,N,0
MML600181,CHIOMA NWOSU MINING LTD,GOLD,Zamfara Gold Belt,Small-Scale Mining,27/09/2019,2024-05-17,1281.25,"N4,593,329,000",,Suspended,04249818299,Kogi,0,N
MML600233,Bola Okafor Mining Ltd,Gypsum,Kogi Iron Ore Field,Small Scale,2019/02/14,25-Jul-2022,11280.95,15412794288.68,"861,661,634.74 ",Abandoned,03317393638,Zamfara,1,false
MML600266,Musa Adeyemi Mining Ltd,Tin,Plateau Mining Zone,Quarry Lease,24 July 2020,2025-07-14,84722.85,"NGN 358,376,184,184","₦24,616,284,457.86",Inactive,+234071461125,Sokoto,yes,false
MML600177,Ibrahim Okafor Mining Ltd,Gold,Sokoto Gypsum Deposit,Small Scale,04.02.2015,2017-02-04,37558.41,63013088397.20 naira,NULL,Suspended,78291146786,Benue,1,N
MML600332,Chioma Olawale Mining Ltd,limestone,Ebonyi Lead-Zinc Site,Quarry lease,16 September 2016,2025-02-06,77552.04,"58,816,231,168.28 ","₦1,815,223,748.47",Active,70593252500,Nasarawa,0,true
MML600385,Aliyu Ogundimu Mining Ltd,Columbite ,Cross River Barite Site,Small Scale,2017-02-28,2019/10/27,64008.08,256077313564.81,"NGN 17,575,469,634",Reclaimed,83564208737,Cross River,false,No
MML600200,BISI  OGUNDIMU MINING LTD,Lead,Plateau Mining Zone,Small Scale,05-Jan-2014,21/08/2023,60524.18,"NGN 116,033,237,233",4917573555.48 naira,Abandoned,(857) 865-2785,Plateau,N,TRUE
